host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,property_type,room_type,capacity,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
N/A,N/A,98.00%,f,t,Entire condo,Entire home/apt,2,980,2,10,4.89,4.91,4.98,4.93,5,4.98,4.84,f,1.21
within an hour,100.00%,100.00%,f,f,Private room in serviced apartment,Private room,2,350,2,1125,4.89,4.93,5,5,4.96,4.96,4.93,t,0.5
N/A,N/A,N/A,f,f,Entire rental unit,Entire home/apt,2,420,1,30,4.75,4.83,4.75,4.67,5,4.17,4.83,f,0.22
within an hour,100.00%,100.00%,f,t,Entire loft,Entire home/apt,2,675,2,1125,4.89,4.93,4.88,4.95,4.97,4.97,4.81,t,2.68
a few days or more,0.00%,0.00%,f,t,Private room in rental unit,Private room,2,280,1,7,5,5,5,5,5,5,5,f,0.05
within a few hours,100.00%,100.00%,f,t,Private room in tiny home,Private room,2,230,2,1125,4.67,4.89,5,4.67,5,4.78,5,f,0.17
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,2,936,2,1125,4.87,4.85,4.77,4.92,4.91,4.92,4.88,f,1.78
a few days or more,0.00%,N/A,f,f,Private room in home,Private room,2,223,2,3,,,,,,,,t,
N/A,N/A,100.00%,f,t,Private room in home,Private room,1,729,1,7,3,2,4,4,5,4,2,f,0.23
within an hour,99.00%,99.00%,t,t,Entire rental unit,Entire home/apt,2,2291,2,1125,4.81,5,5,4.9,4.95,4.95,4.86,t,0.66
within an hour,100.00%,100.00%,f,f,Private room in loft,Private room,2,539,1,1125,4.66,4.78,4.77,4.84,4.62,4.86,4.73,t,5.2
within a few hours,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,3,1479,2,1125,4.96,4.96,4.94,4.94,4.94,4.94,4.92,f,2.67
within an hour,100.00%,100.00%,t,t,Entire home,Entire home/apt,3,580,2,30,4.44,4.64,4.42,4.86,4.86,4.88,4.39,f,1.29
within an hour,100.00%,97.00%,t,t,Entire rental unit,Entire home/apt,2,1668,4,14,4.87,4.79,4.86,5,4.93,5,4.86,f,1.28
within an hour,94.00%,100.00%,f,t,Private room in rental unit,Private room,2,511,2,12,4.89,4.92,4.85,4.97,4.94,4.97,4.86,t,3.13
within a day,90.00%,81.00%,f,t,Entire rental unit,Entire home/apt,6,1300,2,90,4.91,4.97,4.96,4.91,4.88,4.98,4.89,f,2.12
within an hour,100.00%,99.00%,f,t,Entire rental unit,Entire home/apt,6,950,2,1125,4.83,4.86,4.75,4.95,4.94,4.91,4.83,t,2.68
within an hour,100.00%,96.00%,t,t,Entire rental unit,Entire home/apt,3,1062,3,1125,4.89,4.78,4.89,4.67,4.89,5,5,f,0.18
within an hour,100.00%,100.00%,f,t,Entire serviced apartment,Entire home/apt,4,800,2,30,4.25,4.38,4.63,4.63,4.75,5,4.38,f,3.24
within an hour,100.00%,99.00%,t,t,Entire condo,Entire home/apt,3,918,2,100,4.97,4.94,4.97,4.97,5,4.78,4.81,f,0.58
within an hour,100.00%,80.00%,f,t,Private room in rental unit,Private room,2,349,1,1125,4.66,4.61,4.55,4.75,4.91,4.91,4.59,f,0.88
within an hour,100.00%,100.00%,f,t,Entire loft,Entire home/apt,2,820,1,1125,4.6,5,4.8,5,4.4,5,4.6,f,0.09
within a day,90.00%,81.00%,f,t,Entire rental unit,Entire home/apt,4,1200,2,60,4.88,4.92,4.91,4.96,4.94,4.98,4.87,f,1.84
N/A,N/A,N/A,f,t,Private room in condo,Private room,2,3800,3,1125,,,,,,,,f,
within an hour,100.00%,100.00%,f,t,Private room in home,Private room,2,515,1,90,4.83,4.93,4.97,4.93,4.91,4.97,4.87,t,3.25
