host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,property_type,room_type,capacity,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,5,771,2,1125,4.81,4.88,4.75,4.94,4.94,4.94,4.56,f,2.05
within an hour,100.00%,100.00%,f,t,Private room in guesthouse,Private room,2,559,2,365,4.82,4.64,4.82,4.55,4.73,4.64,4.36,t,1.83
N/A,N/A,N/A,f,t,Private room in rental unit,Private room,1,4800,1,365,,,,,,,,t,
within an hour,100.00%,100.00%,t,t,Entire home,Entire home/apt,10,4539,2,365,4.8,4.93,4.87,5,4.93,4.87,4.87,t,1.97
within a few hours,100.00%,82.00%,t,t,Entire condo,Entire home/apt,3,749,3,365,4,5,5,5,5,5,4,f,0.2
within an hour,100.00%,98.00%,t,t,Entire rental unit,Entire home/apt,6,1731,2,1125,4.96,4.96,4.91,4.91,4.96,4.93,4.91,t,5.72
within an hour,100.00%,100.00%,f,f,Private room in vacation home,Private room,9,1749,1,365,1,1,1,1,1,3,1.5,t,0.4
within an hour,92.00%,99.00%,t,t,Entire serviced apartment,Entire home/apt,6,4304,1,365,5,5,5,5,5,5,5,f,0.87
within an hour,100.00%,100.00%,t,t,Shipping container,Entire home/apt,2,444,1,365,4.84,4.81,4.78,4.84,4.73,4.78,4.65,f,4.91
within an hour,100.00%,100.00%,f,t,Private room in casa particular,Private room,2,300,1,365,4.75,4.5,4.75,4.75,5,5,4.63,t,1.07
within an hour,100.00%,100.00%,t,t,Private room in rental unit,Private room,2,699,1,60,4.93,5,4.71,4.86,5,4.93,4.93,t,1.88
within a day,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,5,10045,15,365,,,,,,,,t,
within an hour,100.00%,97.00%,f,t,Private room in vacation home,Private room,6,369,1,365,4.67,4.17,4.83,5,5,5,4.83,t,1.01
within an hour,100.00%,86.00%,t,t,Private room in condo,Private room,1,443,2,30,4.95,5,4.89,4.84,4.89,5,4.84,f,2.65
a few days or more,33.00%,36.00%,f,t,Entire rental unit,Entire home/apt,3,1500,4,60,5,5,4,5,4,5,5,f,0.16
within an hour,100.00%,100.00%,f,t,Entire condo,Entire home/apt,4,760,1,60,4.56,4.78,4.89,4.67,5,4.67,4.44,f,1.2
within an hour,100.00%,97.00%,f,t,Private room in vacation home,Private room,1,369,1,365,4.38,4.88,4.88,5,4.88,5,4.75,t,1.66
within an hour,100.00%,100.00%,f,f,Private room in guest suite,Private room,1,750,1,30,5,5,5,5,5,5,4,f,0.2
within an hour,92.00%,99.00%,t,t,Entire serviced apartment,Entire home/apt,2,3920,1,365,5,5,5,5,5,5,5,f,0.58
within an hour,100.00%,97.00%,f,t,Private room in vacation home,Private room,6,369,1,365,3.6,4,3.6,4.2,3.8,5,4.4,t,0.85
within an hour,100.00%,100.00%,f,t,Casa particular,Entire home/apt,4,780,2,365,4.71,4.5,4.36,4.86,4.79,4.57,4.21,f,1.84
within an hour,100.00%,99.00%,t,t,Entire home,Entire home/apt,2,10802,3,30,,,,,,,,f,
within an hour,100.00%,97.00%,f,t,Private room in vacation home,Private room,16,3109,1,365,,,,,,,,t,
within an hour,100.00%,100.00%,f,f,Entire loft,Entire home/apt,2,986,2,365,4.81,4.94,5,4.74,4.97,4.84,4.9,t,4.08
within an hour,100.00%,92.00%,f,t,Room in boutique hotel,Private room,1,400,1,365,4.25,4.38,4.63,4.63,4.63,4.88,4.25,f,1.33
within an hour,100.00%,99.00%,t,t,Room in hotel,Private room,2,1200,1,365,5,5,4.92,5,4.92,4.96,4.92,t,3.16
within an hour,100.00%,100.00%,f,t,Private room in home,Private room,2,570,1,14,4.5,4.67,4.5,4.89,4.83,4.94,4.67,t,2.36
within a few hours,100.00%,94.00%,t,f,Entire condo,Entire home/apt,2,1700,3,1125,4.92,5,4.83,4.92,5,5,4.92,f,1.67
N/A,N/A,67.00%,f,f,Private room in rental unit,Private room,1,350,1,365,4,4,4,5,5,5,5,f,0.14
N/A,N/A,100.00%,f,t,Entire condo,Entire home/apt,3,957,4,365,5,5,5,5,5,5,5,f,0.13
within an hour,100.00%,100.00%,f,t,Private room in home,Private room,5,780,1,14,4.71,4.65,4.82,4.71,4.71,4.82,4.76,t,2.33
within an hour,100.00%,97.00%,t,t,Entire serviced apartment,Entire home/apt,8,3034,1,30,5,5,5,4.33,5,5,5,t,0.42
within an hour,100.00%,99.00%,t,t,Room in boutique hotel,Private room,2,1100,1,365,5,4.91,4.73,5,5,5,5,t,1.53
within an hour,100.00%,97.00%,t,t,Entire serviced apartment,Entire home/apt,3,1438,1,30,5,5,5,5,5,5,5,t,0.44
within an hour,100.00%,99.00%,t,t,Entire condo,Entire home/apt,6,1248,2,365,5,4.9,5,5,5,4.9,5,f,1.61
within an hour,100.00%,99.00%,t,t,Room in hotel,Private room,2,1200,1,365,5,4.91,4.73,5,5,5,5,t,1.59
within an hour,97.00%,100.00%,f,t,Private room in rental unit,Private room,4,450,1,365,4.54,4.51,4.58,4.6,4.51,4.91,4.72,t,8.52
within an hour,100.00%,97.00%,t,t,Entire serviced apartment,Entire home/apt,6,2259,1,30,5,5,5,5,5,5,5,t,0.39
within an hour,100.00%,98.00%,t,t,Entire place,Entire home/apt,4,1521,2,31,4.59,4.59,4.77,4.86,4.55,4.5,4.68,t,3.11
within an hour,100.00%,98.00%,f,t,Entire rental unit,Entire home/apt,6,1750,2,365,4.44,4.33,4.44,4.67,4.56,4.89,4.33,t,1.16
within an hour,99.00%,99.00%,t,t,Entire condo,Entire home/apt,4,1179,1,365,4.89,4.94,4.92,4.83,4.83,4.97,4.86,f,4.8
within an hour,100.00%,98.00%,f,t,Private room in rental unit,Private room,1,242,4,365,3,5,4,4,5,5,3,t,0.15
N/A,N/A,100.00%,f,t,Entire condo,Entire home/apt,2,750,2,30,5,5,5,5,5,5,5,f,0.27
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,2,1587,2,1125,5,5,4.93,4.97,5,4.77,4.93,t,4.43
within an hour,100.00%,99.00%,f,t,Private room in rental unit,Private room,2,450,1,365,3.8,4.2,3.2,4.4,4.2,4.8,3.8,f,0.79
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,4,3034,1,365,5,5,4.92,4.92,5,4.92,4.92,t,1.58
within an hour,100.00%,100.00%,t,t,Private room in home,Private room,2,750,1,14,4.98,4.98,4.95,4.98,4.93,5,4.88,f,5.24
within an hour,100.00%,100.00%,f,t,Shared room in home,Shared room,16,297,1,365,4.57,4.57,4.93,4.71,4.79,4.93,4.5,t,1.95
within an hour,100.00%,98.00%,t,t,Entire condo,Entire home/apt,2,317,1,7,4.79,4.84,4.5,4.92,4.95,4.79,4.87,f,4.94
within a few hours,100.00%,100.00%,f,t,Entire home,Entire home/apt,7,4300,2,365,5,5,5,5,5,5,5,f,0.32
N/A,N/A,100.00%,f,t,Entire rental unit,Entire home/apt,1,1350,1,31,1,3,3,1,3,3,1,t,0.16
within an hour,97.00%,97.00%,f,t,Private room in condo,Private room,1,390,1,1125,4.6,4.4,4,4.8,4.9,4.9,4.7,f,3.7
within an hour,100.00%,99.00%,f,t,Entire condo,Entire home/apt,7,710,1,1125,4.86,4.92,4.81,4.89,4.97,4.59,4.84,t,4.78
within an hour,100.00%,99.00%,f,t,Private room in rental unit,Private room,1,450,1,365,4.14,4.29,4,4.71,4.86,4.57,4.57,f,1
within an hour,100.00%,99.00%,f,t,Private room in rental unit,Private room,2,500,1,365,4.5,4.63,4.38,4.88,4.94,4.81,4.56,f,2.03
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,3,3156,1,365,4.94,4.89,4.92,4.89,4.94,4.97,4.86,t,4.54
within an hour,100.00%,100.00%,f,t,Entire condo,Entire home/apt,6,1100,3,365,4.92,4.85,4.85,4.77,4.77,4.69,4.92,t,2.24
within an hour,100.00%,93.00%,t,t,Entire rental unit,Entire home/apt,2,1000,3,14,5,5,5,5,5,4.85,5,f,1.81
within an hour,90.00%,88.00%,f,t,Entire rental unit,Entire home/apt,5,2500,3,365,4,5,3.5,5,4.5,5,3.5,f,0.35
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,2,1712,1,365,4.85,4.87,4.93,4.91,4.96,4.87,4.8,t,5.9
within an hour,100.00%,99.00%,f,t,Entire rental unit,Entire home/apt,11,2393,1,365,3.56,3.94,3.25,4.44,4.19,4.94,3.81,f,2.03
within a few hours,100.00%,N/A,f,t,Private room in rental unit,Private room,2,2264,1,365,,,,,,,,t,
N/A,N/A,N/A,f,t,Private room in rental unit,Private room,2,400,30,1125,,,,,,,,f,
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,4,1937,1,30,4.92,4.92,5,4.92,4.92,4.75,5,t,1.71
within an hour,100.00%,100.00%,t,t,Room in boutique hotel,Private room,2,1158,1,27,4.96,4.96,4.96,4.96,4.96,4.81,4.93,f,4.5
within an hour,100.00%,99.00%,t,t,Entire condo,Entire home/apt,4,1121,3,365,4.93,4.93,4.87,4.87,5,4.87,5,f,1.97
within an hour,100.00%,100.00%,f,t,Entire loft,Entire home/apt,3,1463,1,1125,2,2,4,4,4,5,4,t,0.14
within a few hours,100.00%,N/A,f,t,Private room in rental unit,Private room,2,2264,1,365,,,,,,,,t,
within a few hours,100.00%,N/A,f,t,Private room in rental unit,Private room,2,2501,1,365,,,,,,,,t,
within a few hours,100.00%,N/A,f,t,Private room in rental unit,Private room,2,3474,1,365,,,,,,,,t,
within an hour,94.00%,100.00%,f,t,Private room in rental unit,Private room,2,476,2,1125,4.9,4.9,4.7,4.6,5,4.6,4.9,t,1.55
within a few hours,100.00%,N/A,f,t,Private room in rental unit,Private room,2,3753,1,365,,,,,,,,t,
N/A,N/A,100.00%,f,t,Entire rental unit,Entire home/apt,2,1200,4,365,5,5,5,5,5,5,5,t,0.29
N/A,N/A,100.00%,f,t,Entire rental unit,Entire home/apt,6,2495,1,365,4.5,5,4.5,4.5,4,5,4,t,0.32
within an hour,100.00%,99.00%,f,t,Entire rental unit,Entire home/apt,2,553,2,1125,4.22,4.33,4.19,4.52,4.81,4.19,4.26,t,3.67
within an hour,100.00%,99.00%,t,t,Entire condo,Entire home/apt,6,2814,3,365,5,5,4.94,5,5,5,5,f,2.48
within an hour,100.00%,100.00%,t,t,Entire serviced apartment,Entire home/apt,2,1643,1,365,4.5,5,4.5,5,5,5,4.25,t,0.57
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,2,2941,1,365,4.95,5,4.92,4.87,5,5,4.92,t,4.94
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,2,1883,1,100,5,5,5,5,5,5,5,t,0.29
within an hour,100.00%,99.00%,f,t,Entire rental unit,Entire home/apt,8,2500,1,365,3.89,4,3.89,4.89,4.33,5,4,t,1.14
within an hour,100.00%,99.00%,t,t,Entire home,Entire home/apt,13,11850,3,365,5,5,5,5,5,5,5,f,2
within an hour,100.00%,99.00%,t,t,Entire condo,Entire home/apt,15,7729,3,365,4.78,4.56,4.78,5,5,4.89,4.78,f,1.7
within an hour,94.00%,100.00%,f,t,Private room in rental unit,Private room,2,457,2,1125,4,4.4,4.2,4.4,4.2,5,4.8,t,0.63
N/A,N/A,N/A,f,t,Entire condo,Entire home/apt,4,890,2,185,3.86,3.86,4,4.43,4.43,4.43,4,f,0.95
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,4,1700,1,365,5,5,5,5,5,5,5,t,0.14
within an hour,100.00%,99.00%,f,t,Entire rental unit,Entire home/apt,5,2000,1,365,4.6,4.6,4.4,5,4.8,4.8,4.6,t,0.69
within an hour,100.00%,100.00%,f,f,Entire loft,Entire home/apt,4,4000,2,365,,,,,,,,f,
within an hour,100.00%,100.00%,f,t,Entire condo,Entire home/apt,2,1200,1,1125,4.25,4.25,4.75,4.75,5,5,4.75,t,0.72
N/A,N/A,N/A,f,t,Private room in home,Private room,2,4500,3,365,,,,,,,,f,
within an hour,100.00%,99.00%,f,t,Entire condo,Entire home/apt,4,580,2,1125,4.64,4.91,4.77,4.82,4.68,4.86,4.77,f,2.8
within an hour,100.00%,100.00%,t,t,Entire vacation home,Entire home/apt,6,2999,3,1125,4.95,5,4.95,4.95,5,5,4.91,t,3.22
within an hour,100.00%,99.00%,f,t,Private room in rental unit,Private room,2,600,1,365,3.33,3.33,4.67,4.67,3.67,4,3.33,t,0.79
within an hour,100.00%,100.00%,f,t,Private room in rental unit,Private room,2,880,1,30,5,5,5,5,5,5,5,t,0.43
within an hour,100.00%,100.00%,t,t,Private room in casa particular,Private room,2,220,1,365,4.82,4.82,4.82,4.45,4.91,4.36,4.73,f,1.47
within an hour,100.00%,100.00%,t,t,Private room in guesthouse,Private room,3,550,1,365,4.88,4.94,4.88,4.88,4.94,4.75,4.75,t,2.36
within a day,100.00%,96.00%,t,t,Private room in condo,Private room,2,1343,2,90,5,5,5,5,5,5,5,t,1.15
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,4,1425,1,65,5,5,4.92,4.83,5,4.96,4.96,t,3.2
within an hour,100.00%,100.00%,t,t,Entire serviced apartment,Entire home/apt,4,1171,1,365,4.9,4.9,4.8,5,5,5,4.9,f,1.3
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,4,690,2,28,5,5,5,4.94,4.94,4.94,5,f,2.19
within an hour,100.00%,100.00%,f,t,Private room in home,Private room,2,414,1,30,5,5,5,5,5,5,5,f,0.41
within an hour,100.00%,96.00%,t,t,Entire condo,Entire home/apt,4,663,3,28,5,4.95,5,4.95,5,4.91,4.95,f,3.2
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,5,2944,1,365,4.86,4.91,4.86,4.91,4.97,4.97,4.91,t,4.61
within an hour,93.00%,88.00%,f,t,Entire rental unit,Entire home/apt,2,857,1,365,4.47,4.73,4.6,4.67,4.6,5,4.47,f,1.91
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,7,1700,1,1125,4.97,4.84,4.97,4.97,5,4.97,4.94,f,6.04
within an hour,100.00%,99.00%,f,t,Room in boutique hotel,Private room,2,1695,1,365,4,4.25,4.75,4,4,4.75,4,f,0.72
within an hour,100.00%,94.00%,f,t,Private room in rental unit,Private room,1,240,1,1125,4.63,4.69,4.81,4.81,4.5,4.81,4.56,f,2.08
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,4,1152,2,365,4.6,4.47,4.53,4.6,4.4,4.93,4.4,t,2.28
within an hour,100.00%,99.00%,f,t,Room in boutique hotel,Private room,2,1891,1,365,5,5,5,5,5,5,5,f,0.48
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,2,600,2,1125,4.86,5,4.86,5,5,4.71,4.86,t,0.96
within an hour,100.00%,78.00%,f,t,Entire rental unit,Entire home/apt,3,1725,5,90,5,4.75,4.75,5,5,5,5,f,0.85
N/A,N/A,100.00%,f,f,Room in hotel,Private room,4,950,1,365,5,5,5,5,5,5,5,t,0.14
N/A,N/A,100.00%,t,t,Entire loft,Entire home/apt,3,3785,2,14,5,5,5,4.9,5,5,4.9,f,1.35
within a day,89.00%,71.00%,t,t,Private room in condo,Private room,2,286,1,60,5,5,5,5,5,5,5,f,0.75
within a few hours,100.00%,80.00%,f,t,Private room in rental unit,Private room,1,500,1,20,5,5,5,5,5,5,5,f,1
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,2,1270,1,365,4.91,4.95,4.91,5,5,5,4.91,t,3.28
within an hour,100.00%,100.00%,f,t,Private room in home,Private room,2,500,1,60,5,5,4.86,5,5,5,5,f,1.08
within an hour,100.00%,90.00%,f,t,Private room in rental unit,Private room,2,480,1,35,5,3,5,5,5,5,5,f,0.2
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,5,932,3,1125,5,4.9,4.85,4.9,4.95,4.95,4.9,f,3.37
within an hour,100.00%,100.00%,f,t,Private room in casa particular,Private room,3,390,4,90,5,5,5,5,5,5,5,f,0.69
within an hour,100.00%,100.00%,t,t,Entire guest suite,Entire home/apt,2,399,1,365,4.94,4.88,4.94,4.91,5,4.76,4.82,f,4.34
within an hour,100.00%,100.00%,f,t,Private room in casa particular,Private room,2,310,4,90,4.5,4.5,4.5,4,4,3.75,4,f,0.74
within an hour,100.00%,100.00%,f,t,Private room in casa particular,Private room,2,370,4,90,,,,,,,,f,
within an hour,100.00%,98.00%,t,t,Private room in condo,Private room,1,600,7,1125,5,5,5,5,5,5,5,f,1
within an hour,100.00%,98.00%,t,t,Private room in condo,Private room,1,600,15,1125,4.5,5,5,4,5,5,4.5,t,0.31
within a few hours,100.00%,100.00%,f,t,Private room in vacation home,Private room,2,800,2,365,,,,,,,,t,
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,2,1071,1,365,4.5,5,5,5,5,5,4.5,t,0.26
within an hour,100.00%,99.00%,t,t,Room in aparthotel,Entire home/apt,2,2255,1,1125,5,5,5,5,5,5,4.33,t,0.62
within an hour,97.00%,100.00%,f,t,Private room in rental unit,Private room,2,450,1,1,4.37,4.48,4.5,4.61,4.41,4.87,4.5,t,6.89
within an hour,100.00%,98.00%,f,t,Private room in condo,Private room,2,480,2,365,5,5,5,5,5,5,5,t,1.93
within an hour,100.00%,97.00%,f,t,Entire serviced apartment,Entire home/apt,2,1485,2,365,4.25,4.33,4.5,4.33,4,4.67,4.33,t,1.55
within an hour,100.00%,92.00%,f,t,Private room in home,Private room,2,289,2,365,4.86,4.86,4.86,5,4.86,5,4.71,f,0.98
within an hour,96.00%,100.00%,f,t,Private room in casa particular,Private room,2,1000,1,365,4.33,5,5,5,5,5,4,t,0.49
within an hour,100.00%,92.00%,f,t,Private room in home,Private room,2,336,2,365,4.63,4.56,4.44,4.69,4.88,5,4.5,f,2.25
within an hour,91.00%,100.00%,f,t,Entire loft,Entire home/apt,2,991,1,365,4.52,4.76,4.72,4.65,4.15,4.41,4.52,t,5.95
N/A,N/A,100.00%,f,f,Room in hotel,Private room,4,950,1,365,4.67,5,5,5,5,5,4.33,t,0.46
within an hour,100.00%,99.00%,f,t,Entire rental unit,Entire home/apt,2,1206,2,1125,4.78,4.67,4.89,4.89,4.89,5,4.33,t,1.19
within an hour,100.00%,99.00%,f,t,Private room in rental unit,Private room,2,450,4,365,4,4.36,4.27,4.55,4.9,4.73,4.36,t,1.51
within an hour,90.00%,100.00%,f,f,Entire townhouse,Entire home/apt,5,2414,1,365,4.38,4.63,4.63,4.5,4.63,4.75,4.38,t,1.49
within a few hours,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,4,2500,5,365,4.75,4.67,4.67,4.83,4.83,4.92,4.5,f,1.76
within an hour,99.00%,99.00%,t,t,Entire serviced apartment,Entire home/apt,4,1577,1,365,4.93,4.93,5,5,4.93,4.67,4.87,t,2.23
within an hour,100.00%,100.00%,t,t,Room in boutique hotel,Private room,2,1083,1,27,5,5,5,5,5,4.87,4.95,f,5.82
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,6,2207,1,365,4.81,4.81,4.88,4.88,5,4.56,4.63,t,2.47
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,2,907,1,30,4.81,4.88,4.95,4.93,4.95,4.93,4.79,f,5.44
N/A,N/A,100.00%,f,f,Room in hotel,Private room,4,1399,1,365,,,,,,,,t,
within an hour,99.00%,100.00%,t,t,Private room in condo,Private room,2,664,2,365,4.92,4.88,4.92,4.96,4.92,4.96,4.8,t,3.87
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,2,914,1,30,5,5,4.98,5,4.96,4.95,4.93,f,7.09
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,2,914,1,30,4.8,4.89,4.83,4.94,4.94,4.94,4.69,f,4.43
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,2,913,1,30,5,4.97,4.97,4.95,4.92,4.95,4.89,f,4.68
within an hour,83.00%,100.00%,f,t,Entire vacation home,Entire home/apt,2,800,2,28,4.83,5,4.67,5,5,5,5,f,1.01
within a day,89.00%,71.00%,t,t,Private room in condo,Private room,2,286,1,365,4.29,4.43,4.43,4.43,4.43,4.29,4.29,f,0.98
within a day,79.00%,94.00%,f,t,Private room in serviced apartment,Private room,1,250,2,365,,,,,,,,f,
a few days or more,0.00%,100.00%,f,f,Private room in rental unit,Private room,1,600,1,1125,,,,,,,,f,
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,3,1179,1,30,4.91,4.96,4.96,4.96,4.98,4.91,4.8,f,5.72
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,2,964,1,30,4.6,4.88,4.74,4.86,4.83,4.88,4.57,f,5.45
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,2,1347,2,1125,5,5,5,5,5,5,4.95,f,2.85
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,3,942,1,30,4.95,4.98,4.96,4.98,4.96,4.93,4.88,f,7.25
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,2,911,1,30,4.86,4.98,4.93,5,5,4.86,4.93,f,5.74
N/A,N/A,100.00%,f,t,Private room in rental unit,Private room,1,1000,1,30,5,5,5,5,5,5,5,f,0.14
within an hour,100.00%,100.00%,f,t,Entire condo,Entire home/apt,2,660,1,1125,4.81,4.62,4.57,4.86,4.48,5,4.9,t,2.85
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,4,1466,2,120,,,,,,,,f,
within an hour,100.00%,100.00%,f,t,Entire condo,Entire home/apt,4,2723,5,40,5,4.75,5,4.75,4.75,5,5,f,0.59
within an hour,95.00%,100.00%,t,t,Entire rental unit,Entire home/apt,2,509,1,1125,4.59,4.59,4.53,4.41,4.71,4.94,4.47,f,2.6
within an hour,100.00%,40.00%,f,f,Entire serviced apartment,Entire home/apt,4,1057,1,15,3,3,3,3,3,4,4,f,0.27
within an hour,100.00%,100.00%,t,t,Entire serviced apartment,Entire home/apt,2,1535,2,365,4.83,4.79,4.83,4.83,5,4.79,4.75,f,3.16
within a day,60.00%,67.00%,f,t,Private room in casa particular,Private room,1,500,1,365,5,5,5,5,5,5,5,f,0.76
within an hour,100.00%,93.00%,f,t,Private room in home,Private room,2,550,1,7,5,5,4.94,5,4.89,5,4.94,f,2.37
within a few hours,100.00%,85.00%,t,t,Private room in home,Private room,2,700,1,365,4.95,4.68,4.68,4.89,4.79,4.84,4.68,f,2.81
within an hour,90.00%,83.00%,f,t,Private room in guest suite,Private room,2,181,4,365,5,5,5,5,5,5,4.5,f,0.27
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,4,1647,3,365,4.9,5,4.9,5,5,4.8,4.8,f,1.35
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,4,1275,1,1125,5,4.8,4.8,5,5,5,5,t,1.01
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,2,1434,2,365,4.89,4.94,4.94,5,4.94,4.78,4.78,f,2.62
within an hour,100.00%,100.00%,f,f,Entire loft,Entire home/apt,3,716,1,365,4.64,4.73,4.82,4.91,4.82,4.45,4.36,f,1.54
within an hour,100.00%,99.00%,t,t,Entire condo,Entire home/apt,4,1503,1,10,4.88,4.82,5,4.65,4.82,4.88,4.88,t,2.37
within an hour,100.00%,99.00%,t,t,Entire condo,Entire home/apt,6,2236,1,90,5,5,5,5,5,5,5,f,2.23
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,5,825,1,1125,4.67,4.93,4.8,4.8,4.8,4.67,4.53,f,2.12
within an hour,100.00%,99.00%,f,t,Entire loft,Entire home/apt,4,619,1,365,4.06,4.29,4.24,4.35,4.41,4,4.18,f,2.29
within a few hours,100.00%,50.00%,f,t,Entire condo,Entire home/apt,7,3000,2,365,,,,,,,,f,
within an hour,100.00%,94.00%,t,t,Entire serviced apartment,Entire home/apt,3,607,2,365,4.86,4.86,4.86,4.86,4.9,4.95,4.71,f,2.85
within an hour,100.00%,100.00%,f,t,Entire guest suite,Entire home/apt,4,689,2,1125,5,5,5,5,5,5,5,f,1.03
within an hour,89.00%,100.00%,f,t,Private room in casa particular,Private room,1,400,1,365,4.75,5,4.75,5,5,5,4.75,f,2.5
within an hour,100.00%,100.00%,f,t,Private room in serviced apartment,Private room,4,277,2,365,4.35,4.4,4.55,4.4,4.5,4.8,4.4,f,2.64
within an hour,100.00%,100.00%,t,t,Private room in rental unit,Private room,2,799,1,60,5,5,4.91,5,5,5,4.82,t,2.36
within an hour,90.00%,100.00%,f,f,Entire condo,Entire home/apt,3,900,2,1125,4.42,4.74,4.47,4.89,4.68,4.32,4.42,f,2.77
within an hour,96.00%,98.00%,t,t,Entire serviced apartment,Entire home/apt,6,1697,1,365,5,5,5,5,5,5,5,t,0.29
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,4,2885,2,365,4.87,4.6,4.87,4.8,4.87,5,4.93,t,2.07
within an hour,99.00%,100.00%,t,t,Entire loft,Entire home/apt,4,5446,2,365,4.87,4.93,4.93,5,4.93,5,4.73,t,2.26
within an hour,99.00%,100.00%,t,t,Private room in rental unit,Private room,3,388,1,44,4.86,4.86,4.76,5,5,5,4.81,f,2.79
within an hour,99.00%,100.00%,t,t,Private room in rental unit,Private room,2,347,1,28,4.78,4.78,4.72,4.83,4.78,4.89,4.78,f,2.55
within a few hours,100.00%,94.00%,f,t,Private room in condo,Private room,2,500,4,90,,,,,,,,f,
N/A,N/A,100.00%,f,f,Room in hotel,Private room,4,1050,1,365,4,5,5,5,5,5,4,t,0.15
within an hour,100.00%,98.00%,f,t,Private room in casa particular,Private room,1,250,3,365,5,5,4,5,4,5,5,t,0.56
within an hour,100.00%,73.00%,f,t,Private room in serviced apartment,Private room,1,536,2,365,5,4.67,4.33,5,5,5,4.67,f,0.69
within an hour,100.00%,100.00%,f,t,Entire loft,Entire home/apt,2,1491,1,1125,4.44,4.88,4.63,4.81,4.94,4.81,4.44,t,2.1
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,2,911,1,30,4.9,4.95,4.95,4.98,4.98,4.97,4.9,f,7.8
N/A,N/A,100.00%,f,f,Room in hotel,Private room,4,950,1,365,4.67,5,5,5,4.67,5,4.67,t,0.51
within an hour,100.00%,89.00%,f,t,Entire serviced apartment,Entire home/apt,5,1376,2,35,5,5,4.88,5,5,4.63,5,f,1.6
N/A,N/A,N/A,f,t,Entire condo,Entire home/apt,6,1200,2,185,4.85,4.92,5,4.85,4.69,4.92,4.92,f,1.74
within a few hours,100.00%,92.00%,t,t,Entire guest suite,Entire home/apt,4,400,2,1125,4.85,4.85,4.92,4.85,4.77,4.69,4.92,f,1.85
N/A,N/A,67.00%,f,t,Private room in rental unit,Private room,2,450,3,62,,,,,,,,f,
within an hour,100.00%,97.00%,t,t,Entire rental unit,Entire home/apt,7,1778,1,365,4.88,4.75,4.96,4.92,4.79,5,4.88,f,3.24
within an hour,98.00%,99.00%,t,t,Entire condo,Entire home/apt,4,2247,1,1125,4.75,4.75,4.75,4.75,4.75,4.75,4.75,f,1.05
within an hour,100.00%,99.00%,f,t,Entire rental unit,Entire home/apt,4,1534,1,1125,4.87,4.87,4.73,5,4.87,4.87,4.8,t,2.03
a few days or more,0.00%,N/A,f,f,Entire condo,Entire home/apt,2,750,90,365,,,,,,,,t,
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,6,1506,1,1125,4.7,4.86,4.91,4.59,4.8,4.89,4.68,t,5.84
